Feature,Importance,Std
Appendix_Diameter,0.2311811023622047,0.01780015263111156
Appendix_on_US_No,0.18519685039370073,0.025110086838418585
WBC_Count,0.027716535433070844,0.009480262641444056
Nausea_No,0.02566929133858265,0.009936246648407794
Contralateral_Rebound_Tenderness_No,0.02078740157480312,0.00980433538032968
CRP,0.019212598425196827,0.012614163398110726
Ipsilateral_Rebound_Tenderness_Unknown,0.016535433070866117,0.010709819298216877
Ipsilateral_Rebound_Tenderness_Missing,0.016062992125984225,0.009041070925610897
Stool_constipation,0.005984251968503927,0.0033628592919783596
BMI,0.0050393700787401486,0.004386893945569794
Coughing_Pain_No,0.004881889763779519,0.005430217212461934
Appendix_Diameter_Missing,0.0045669291338582595,0.009460622548583032
Nausea_Yes,0.0045669291338582595,0.0038862874580324544
Ipsilateral_Rebound_Tenderness_No,0.004251968503937001,0.008062315424359168
Contralateral_Rebound_Tenderness_Yes,0.003464566929133852,0.003908558628658531
